ID,nExpediente,EMPRESA,AUTÓNOMO,Nº TRABAJADORES,Tipo actividad,Fecha Entrada,Fecha Salida,Base modelo 190,Base modelo 180,importe neto,aprovisionamientos,otros ingresos explotación,ingresos financiero,gastos financieros,deterioro ingresos financieros,inspección HACIENDA,nº socios,pagos gestoria,ha pagado a la gestoría,solicita aplazamientos pago,certificado electrónico,reuniones anuales,envia documentacion por correo,se realiza la declaracion de la renta
163,2300163,0,1,0.0,fontaneria,2009-04-22,,0,759,57177,19211.955135341857,,25,7.457020722626619,0.0,0.0,,72.6,Sí,0,1,,no,sí
164,2300164,0,1,0.0,limpieza,2015-08-04,,0,924,401681,161882.07797288994,,53,54.81902818710955,0.0,0.0,,72.6,Sí,0,0,,sí,sí
165,2300165,0,1,3.0,empresa de telefonia,2013-09-08,,4668,1070,75809,21363.94264938612,,34,8.171413103291297,0.0,1.0,,162.5,Sí,0,1,,sí,sí
166,2300166,0,1,3.0,componentes electronicos,2007-09-17,,4728,983,446254,146274.1566067134,,59,49.63768766852296,0.0,0.0,,162.5,Sí,1,0,,no,sí
167,2310167,1,0,22.0,construccion,2021-05-07,,37818,1141,754607,276416.3914657419,,46,92.8408291269223,0.0,0.0,5.0,460.0,No,0,1,,sí,sí
168,2300168,0,1,0.0,construccion,2012-08-10,,0,1015,134879,53908.21163831466,,41,18.975090005811754,0.0,0.0,,72.6,Sí,1,0,,no,sí
169,2300169,0,1,2.0,fontaneria,2010-04-03,,2398,1023,68005,19885.74055416012,,28,7.680696355624194,0.0,1.0,,142.45,Sí,0,1,1.0,sí,sí
170,2310170,1,0,14.0,construccion,2001-12-19,,21196,887,188637,54790.323144736176,,36,19.267923367981165,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
171,2300171,0,1,0.0,restauracion,2021-12-17,,0,610,923023,360257.874791418,,60,120.67357280252337,0.0,1.0,,72.6,Sí,0,0,,sí,sí
172,2310172,1,0,2.0,construccion,2018-04-28,,2798,1010,194509,69878.42970196558,,37,24.276701668411302,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
173,2310173,1,0,19.0,construccion,2004-09-14,,28500,1199,180072,53745.97376636603,,30,18.921232119174885,0.0,0.0,1.0,460.0,Sí,1,1,,no,sí
174,2310174,1,0,12.0,construccion,,,13968,640,232416,80609.61748033148,,22,27.83911954226745,0.0,0.0,2.0,460.0,No,1,1,,sí,sí
175,2300175,0,1,1.0,fontaneria,2015-06-18,,1235,1066,79476,24530.16013854005,,32,9.22249803525169,0.0,1.0,,121.0,Sí,0,1,,no,sí
176,2310176,1,0,18.0,construccion,2002-02-18,,27684,554,136341,52517.85057942832,,33,18.513533728017823,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
177,2300177,0,1,1.0,construccion,2003-05-24,,1431,1123,64887,25577.48080602807,,35,9.570175658882505,0.0,0.0,,121.0,Sí,0,1,,sí,sí
178,2300178,0,1,0.0,educacion,2018-01-12,,0,1199,45724,15623.311526267717,,29,6.265703563715428,0.0,0.0,,72.6,Sí,0,0,,sí,sí
179,2300179,0,1,2.0,fontaneria,2017-03-20,,3596,821,74957,31144.61452777413,,28,11.418289501087164,0.0,0.0,,142.45,Sí,0,0,,sí,sí
180,2310180,1,0,12.0,construccion,2006-10-15,,16428,982,181769,67064.61925331423,,35,23.3426048244322,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
181,2310181,1,0,11.0,construccion,2012-03-08,,14652,530,189763,60031.873468258585,,43,21.00795373040541,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
182,2300182,0,1,1.0,restauracion,2018-02-17,,1245,841,74949,21677.515262092933,,37,8.27550937886953,0.0,0.0,,121.0,Sí,0,0,,sí,sí
183,2300183,0,1,0.0,restauracion,2018-01-26,,0,1093,577379,218032.1673492844,,53,73.4590973149976,0.0,1.0,,72.6,Sí,0,1,,sí,sí
184,2310184,1,0,4.0,construccion,2019-05-15,,5600,1163,107290,38903.37872951729,,28,13.993955945676577,0.0,0.0,4.0,460.0,No,0,1,,sí,no
185,2300185,0,1,0.0,ingenieria,2009-03-28,,0,524,59187,19415.87241916609,,43,7.524714867178646,0.0,0.0,,72.6,Sí,0,1,,sí,sí
186,2300186,0,1,3.0,restauracion,2012-09-23,,3918,534,62987,24148.62094744974,,33,9.095838986692602,0.0,0.0,,162.5,Sí,0,1,,sí,sí
187,2300187,0,1,0.0,restauracion,2017-01-24,,0,1116,237035,67655.23631819246,,62,23.53867117160472,0.0,1.0,,72.6,Sí,1,0,1.0,sí,sí
188,2300188,0,1,0.0,restauracion,2019-01-05,,0,941,47660,19031.58538389904,,29,7.397143620509527,0.0,1.0,,72.6,Sí,0,0,,no,sí
189,2300189,0,1,0.0,fontaneria,,,0,858,31532,9670.612715625854,,23,4.289594201109344,0.0,1.0,,72.6,Sí,0,1,,sí,sí
190,2300190,0,1,0.0,construccion,2003-09-16,,0,957,47380,13486.13231006233,,31,5.5562270736298816,0.0,0.0,,72.6,Sí,0,0,,sí,sí
191,2300191,0,1,0.0,construccion,2020-12-27,,0,1164,428633,173540.1911314284,,46,58.68915622411416,0.0,0.0,,72.6,Sí,0,1,,sí,sí
192,2310192,1,0,25.0,construccion,2022-03-06,,36425,1017,167680,61456.39357983669,,40,21.48084974266084,0.0,0.0,1.0,460.0,Sí,1,1,,sí,no
193,2310193,1,0,21.0,construccion,2007-12-20,,28602,740,127210,37834.81666717876,,36,13.63922684496383,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
194,2300194,0,1,0.0,ingenieria,2012-06-14,,0,952,35309,12988.880901235285,,27,5.3911551968543385,0.0,1.0,,72.6,Sí,1,1,,sí,sí
195,2300195,0,1,0.0,fontaneria,2015-10-02,,0,538,36103,14602.39115535882,,26,5.926790010786851,0.0,0.0,,72.6,No,0,0,,sí,sí
196,2300196,0,1,2.0,restauracion,2012-06-03,,2544,884,65277,23624.24097220342,,40,8.921761276462263,0.0,0.0,,142.45,Sí,0,1,1.0,sí,sí
197,2310197,1,0,15.0,construccion,2007-04-17,,24225,815,342787,132023.57641611056,,58,44.90694186178482,0.0,0.0,2.0,460.0,Sí,0,1,1.0,sí,sí
198,2310198,1,0,6.0,construccion,2004-04-30,,8958,706,151284,61329.18112070518,,40,21.438619194883,0.0,0.0,5.0,460.0,Sí,0,1,,sí,no
199,2310199,1,0,26.0,construccion,2006-11-20,,31798,573,139263,56854.85428764386,,23,19.9532829755592,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
200,2300200,0,1,0.0,restauracion,2016-11-07,,0,728,57592,17274.729673777034,,34,6.813922609677686,0.0,1.0,,72.6,Sí,0,0,0.0,sí,sí
201,2300201,0,1,2.0,construccion,2004-05-30,,2268,995,1092857,421469.1660831531,,44,140.99380227601205,33.82939200332282,0.0,,142.45,No,0,1,,no,sí
202,2300202,0,1,0.0,restauracion,2013-10-05,,0,528,52218,20895.12173842633,,31,8.015779260390174,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
203,2300203,0,1,0.0,construccion,2016-04-21,,0,899,41903,17500.141400841967,,38,6.888752235443044,0.0,0.0,,72.6,Sí,0,1,,sí,sí
204,2310204,1,0,19.0,construccion,2022-02-27,,26486,536,401216,160870.36815697295,,46,54.48317224964807,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
205,2310205,1,0,15.0,construccion,2013-09-17,,19590,1147,845813,317694.4040900723,,52,106.54383507623822,0.0,0.0,1.0,460.0,Sí,0,1,,sí,no
206,2310206,1,0,24.0,construccion,2016-04-23,,36816,1171,194235,61853.265791023776,,41,21.6125988731364,0.0,0.0,2.0,460.0,Sí,0,1,0.0,sí,sí
207,2300207,0,1,1.0,restauracion,2007-01-08,,1241,671,77975,25232.94267375887,,32,9.455799801710826,0.0,1.0,,121.0,Sí,0,1,,sí,sí
208,2300208,0,1,0.0,restauracion,2002-12-21,,0,541,43031,16808.964899931994,,38,6.6593033084757085,0.0,0.0,,72.6,Sí,0,1,0.0,sí,sí
209,2300209,0,1,2.0,restauracion,2016-12-07,,2892,963,64923,21944.73298802625,,23,8.364217285462608,0.0,0.0,,142.45,Sí,0,1,1.0,no,sí
210,2300210,0,1,1.0,zapateria,2004-07-22,,1182,882,77912,31084.71950606381,,22,11.398406231844032,0.0,0.0,,121.0,Sí,0,1,,sí,sí
211,2300211,0,1,1.0,informatica,2006-04-26,,1618,682,523186,180982.8462559834,,49,61.159884366446526,0.0,0.0,,121.0,Sí,0,1,,sí,sí
212,2310212,1,0,2.0,construccion,2014-12-01,,3372,618,148965,55593.74736010051,,24,19.53463501670218,0.0,0.0,5.0,460.0,No,0,1,1.0,sí,sí
213,2300213,0,1,0.0,restauracion,2022-04-26,,0,1182,37372,15463.960507768974,,37,6.212804021908738,0.0,1.0,,72.6,Sí,0,1,1.0,sí,sí
214,2310214,1,0,6.0,construccion,2009-04-16,,9678,915,106047,32844.89395502574,,25,11.982728959914096,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
215,2310215,1,0,20.0,construccion,2002-09-27,,31140,586,189514,60718.247912856736,,36,21.235808525242195,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
216,2300216,0,1,1.0,fontaneria,2005-03-07,,1574,1069,76192,26132.88388994189,,27,9.75455206848352,0.0,1.0,,121.0,Sí,0,0,,sí,sí
217,2300217,0,1,2.0,construccion,2017-12-02,,2552,998,68767,26822.51906269465,,33,9.98348932282988,0.0,0.0,,142.45,No,0,0,,sí,sí
218,2300218,0,1,3.0,construccion,2015-05-17,,4503,523,64083,25300.57992355524,,41,9.478253247926617,0.0,0.0,,162.5,Sí,1,1,1.0,sí,sí
219,2300219,0,1,1.0,restauracion,2001-05-22,,1375,624,66110,26087.258961300668,,28,9.739406022710977,0.0,1.0,,121.0,Sí,0,1,0.0,sí,sí
220,2300220,0,1,3.0,fontaneria,2007-10-01,,4062,1076,64886,21145.930858550448,,42,8.099040024334457,0.0,1.0,,162.5,Sí,0,1,,sí,sí
221,2300221,0,1,1.0,restauracion,2012-10-30,,1247,698,71034,20770.262261440632,,28,7.974329828908703,0.0,1.0,,121.0,Sí,1,0,0.0,no,sí
222,2300222,0,1,0.0,limpieza,2019-07-14,,0,568,35259,10606.663444995362,,41,4.600333694072518,0.0,0.0,,72.6,No,0,1,,sí,sí
223,2310223,1,0,1.0,construccion,2019-10-28,,1365,703,304816,91981.8661641879,,50,31.6143495367496,0.0,,1.0,460.0,Sí,0,1,,sí,sí
224,2300224,0,1,0.0,fontaneria,2006-10-24,,0,708,34812,13018.03637373231,,24,5.400833899574788,0.0,1.0,,72.6,Sí,0,1,,sí,sí
225,2310225,1,0,20.0,construccion,2003-10-24,,30740,1006,110873,39710.39671311186,,28,14.26186061277005,0.0,0.0,1.0,460.0,Sí,1,1,,sí,no
226,2300226,0,1,2.0,peluqueria,2002-07-18,,2852,923,71904,21955.33421594939,,27,8.367736560739324,0.0,0.0,,142.45,Sí,0,0,,sí,sí
227,2300227,0,1,3.0,restauracion,2008-06-01,,3663,1010,113989,39111.31141028378,,27,14.062983076113593,0.0,0.0,,162.5,Sí,0,1,,sí,sí
228,2310228,1,0,3.0,construccion,2009-11-26,,4197,666,181418,63710.26795778323,,35,22.22906536755282,0.0,0.0,4.0,460.0,Sí,0,1,0.0,sí,no
229,2300229,0,1,0.0,ingenieria,2007-09-15,,0,938,49099,19095.20495024936,,31,7.418263321792758,0.0,0.0,,72.6,No,0,1,,sí,sí
230,2300230,0,1,3.0,fontaneria,2019-01-31,,4467,1115,67590,24437.81628198505,,26,9.191842770249664,0.0,0.0,,162.5,Sí,0,1,,sí,sí
231,2310231,1,0,10.0,construccion,2011-12-21,,12680,747,175249,58323.71030715117,,35,20.440897119127083,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
232,2310232,1,0,12.0,construccion,2010-01-03,,16128,628,169974,70184.97454976433,,43,24.378464946390498,0.0,0.0,1.0,460.0,Sí,1,1,1.0,sí,no
233,2300233,0,1,3.0,restauracion,2012-03-08,,3342,1087,65698,23018.033494302377,,39,8.720519400992186,0.0,0.0,,162.5,Sí,0,0,1.0,sí,sí
234,2310234,1,0,11.0,construccion,2017-10-21,,17259,928,137226,54975.10795883559,,25,19.32926613246918,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
235,2310235,1,0,15.0,construccion,2015-09-28,,16500,552,129664,44323.57202629819,,35,15.793290174002594,0.0,1.0,1.0,460.0,Sí,0,1,,sí,sí
236,2300236,0,1,0.0,restauracion,2012-03-06,,0,709,39618,11176.029381789634,,41,4.789345333034783,0.0,0.0,,72.6,Sí,0,0,,no,sí
237,2300237,0,1,1.0,construccion,,,1709,856,60199,21930.41292245456,,30,8.35946347268801,0.0,0.0,,121.0,Sí,0,1,,no,sí
238,2300238,0,1,0.0,restauracion,2013-12-06,,0,861,39814,15620.609498778069,,43,6.264806575308963,0.0,,,72.6,Sí,0,1,,sí,sí
239,2310239,1,0,9.0,construccion,2009-11-26,,15300,1187,142879,45683.94532512088,,35,16.244891455699722,0.0,0.0,2.0,460.0,Sí,0,1,0.0,sí,sí
240,2300240,0,1,0.0,restauracion,2019-08-04,,0,989,415031,157250.3935395772,,49,53.281454178335,0.0,0.0,,72.6,Sí,0,0,,sí,sí
241,2300241,0,1,0.0,limpieza,2016-08-16,,0,1060,35680,12305.481422779849,,38,5.164287997499046,0.0,0.0,,72.6,Sí,0,1,0.0,sí,sí
242,2310242,1,0,12.0,construccion,2014-04-13,,17088,922,739919,243850.97148785568,,58,82.03013075924171,0.0,0.0,4.0,460.0,Sí,0,1,,sí,sí
243,2300243,0,1,1.0,restauracion,2010-10-13,,1201,536,648805,187126.6057689865,,49,63.19941989166765,0.0,0.0,,121.0,Sí,0,1,,sí,sí
244,2310244,1,0,25.0,construccion,2008-10-12,,39700,888,50045,16504.485487565988,,23,6.558225690299964,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
245,2300245,0,1,1.0,fontaneria,2021-07-18,,1726,703,551450,216845.26011544987,,49,73.0650813279747,0.0,0.0,,121.0,No,0,1,,no,sí
246,2300246,0,1,1.0,construccion,2007-09-23,,1679,539,619150,242341.41743424087,,50,81.52900614440732,0.0,1.0,,121.0,Sí,1,1,,sí,sí
247,2300247,0,1,0.0,restauracion,2005-05-06,,0,721,47198,18781.112843565403,,34,7.313994590502472,0.0,0.0,,72.6,Sí,0,1,0.0,sí,sí
248,2310248,1,0,11.0,construccion,2003-03-22,,13343,690,109483,42900.54605666819,,32,15.320890170026209,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
249,2310249,1,0,11.0,construccion,2004-12-12,,16511,1185,115657,44798.43103891059,,36,15.950928477332113,0.0,1.0,1.0,460.0,Sí,0,1,1.0,sí,sí
250,2300250,0,1,1.0,restauracion,2015-01-31,,1462,959,74427,29525.38028747767,,30,10.880754503216648,0.0,0.0,,121.0,Sí,0,1,,no,sí
251,2300251,0,1,0.0,construccion,2001-04-26,,0,660,48233,19039.89902844979,,29,7.399903489832119,0.0,0.0,,72.6,Sí,0,0,,sí,sí
252,2300252,0,1,0.0,ingenieria,2006-06-30,,0,675,50669,15754.896580635665,,35,6.309385676012234,0.0,0.0,,72.6,Sí,0,0,,sí,sí
253,2300253,0,1,0.0,fontaneria,2009-08-30,,0,1174,41725,15814.4449761905,,27,6.329153876239955,0.0,,,72.6,Sí,0,1,,no,sí
254,2300254,0,1,2.0,fontaneria,2019-04-21,,2846,798,76633,32147.76839047788,,37,11.751305130347529,0.0,1.0,,142.45,Sí,0,0,,sí,sí
255,2300255,0,1,0.0,zapateria,2012-02-02,,0,798,30656,9206.450858660011,,32,4.135507018052973,0.0,1.0,,72.6,Sí,1,0,,sí,sí
256,2310256,1,0,3.0,construccion,2012-04-23,,5265,864,197474,75624.76803534022,,25,26.184305822846834,0.0,0.0,2.0,460.0,Sí,0,1,,sí,sí
257,2300257,0,1,0.0,restauracion,2020-12-26,,0,702,38106,15589.315864032817,,32,6.25441806976262,0.0,0.0,,72.6,Sí,1,1,,sí,sí
258,2300258,0,1,0.0,restauracion,2011-04-14,,0,926,41338,15346.48029725144,,40,6.173804275523182,0.0,0.0,,72.6,Sí,0,0,,sí,sí
259,2300259,0,1,1.0,peluqueria,2007-06-19,,1790,1058,71857,23560.549763821688,,25,8.900617792270886,0.0,0.0,,121.0,Sí,0,1,,sí,sí
260,2310260,1,0,16.0,construccion,2021-08-11,,18304,963,110148,41205.940630841214,,36,14.75833430176808,0.0,0.0,2.0,460.0,No,0,1,1.0,sí,sí
261,2310261,1,0,16.0,construccion,2020-03-18,,23040,1121,897659,367939.7721279748,,62,123.22372185797536,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
262,2310262,1,0,18.0,construccion,2022-11-16,,29952,1117,166742,68522.1927727975,,27,23.82647353174665,0.0,0.0,3.0,460.0,Sí,0,1,1.0,sí,sí
263,2310263,1,0,10.0,construccion,2011-09-24,,12720,1052,191898,77004.7934637326,,26,26.64243099538292,0.0,0.0,1.0,460.0,Sí,1,1,1.0,sí,sí
264,2300264,0,1,0.0,educacion,2013-01-14,,0,1120,44219,15826.528841336716,,39,6.333165340587726,0.0,1.0,,72.6,Sí,0,1,,sí,sí
265,2300265,0,1,,restauracion,2019-05-06,,0,868,1036604,373236.24887909566,,49,124.98198607218424,85.59943379829492,0.0,,72.6,Sí,0,1,,sí,sí
266,2300266,0,1,1.0,fontaneria,2003-08-14,,1695,927,61569,25509.684193744102,,25,9.547669309317529,0.0,0.0,,121.0,Sí,0,1,,sí,sí
267,2310267,1,0,25.0,construccion,2013-12-13,,33875,948,178222,66428.12371654884,,27,23.13130826307913,0.0,0.0,2.0,460.0,Sí,0,1,,sí,no
268,2300268,0,1,0.0,restauracion,2009-12-01,,0,1075,1069558,302504.52257017524,,52,101.5012706792821,35.548155281500144,1.0,,72.6,Sí,0,1,,sí,sí
269,2310269,1,0,19.0,construccion,2007-10-07,,27531,544,171848,54782.23188035164,,26,19.26523732190119,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
270,2300270,0,1,1.0,restauracion,2020-03-25,,1206,1142,74300,24866.053784058327,,39,9.334004193863636,0.0,0.0,,121.0,Sí,0,0,1.0,sí,sí
271,2300271,0,1,0.0,empresa de telefonia,2002-12-06,,0,1034,55982,19490.193394997903,,23,7.549387100874848,0.0,1.0,,72.6,Sí,0,1,,sí,sí
272,2300272,0,1,1.0,limpieza,2004-08-24,,1260,880,65817,21226.870153653992,,40,8.125909332516304,0.0,1.0,,121.0,No,0,0,,sí,sí
273,2300273,0,1,3.0,construccion,2001-07-10,,4773,891,63168,19583.315166056163,,23,7.580300609101018,0.0,0.0,,162.5,Sí,0,0,,sí,sí
274,2300274,0,1,0.0,peluqueria,2011-02-02,,0,711,38695,14684.077817019304,,36,5.9539074212324685,0.0,1.0,,72.6,Sí,0,1,,sí,sí
275,2310275,1,0,6.0,construccion,2004-07-07,,9078,727,172401,52355.38465001022,,39,18.459600133451666,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,no
276,2300276,0,1,1.0,peluqueria,2014-01-31,,1464,809,71218,20849.27900541661,,29,8.000560910396388,0.0,0.0,,121.0,Sí,0,1,,sí,sí
277,2300277,0,1,0.0,ingenieria,2014-10-20,,0,1001,57951,19553.03385423556,,43,7.57024816302501,0.0,0.0,,72.6,Sí,1,1,,sí,sí
278,2300278,0,1,0.0,fontaneria,2015-04-30,,0,818,753831,296612.57787582994,,55,99.54532977838552,0.0,0.0,,72.6,Sí,0,1,,sí,sí
279,2300279,0,1,0.0,restauracion,2017-02-15,,0,913,32720,12644.251750717767,,36,5.276749124478034,0.0,0.0,,72.6,Sí,0,1,1.0,no,sí
280,2300280,0,1,0.0,limpieza,2018-09-27,,0,1020,588140,184143.6753040721,,60,62.20918050492392,0.0,1.0,,72.6,Sí,0,0,,sí,sí
281,2310281,1,0,16.0,construccion,2005-06-17,,26064,674,156814,49767.33401739498,,42,17.600448469862272,0.0,1.0,1.0,460.0,Sí,0,1,0.0,sí,sí
282,2300282,0,1,0.0,fontaneria,2022-10-03,,0,753,47703,19949.426241225243,,23,7.701838006911573,0.0,1.0,,72.6,Sí,0,0,1.0,sí,sí
283,2300283,0,1,2.0,restauracion,2007-08-30,,3062,1129,78403,22768.33294060572,,39,8.637626646343527,0.0,0.0,,142.45,No,0,1,1.0,sí,sí
284,2310284,1,0,11.0,construccion,2021-08-11,,17908,811,1057661,307790.69527542614,,56,103.256114273338,45.10680806629079,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
285,2300285,0,1,0.0,construccion,2009-03-25,,0,1080,1056287,309167.0183108905,,58,103.7130103675078,43.33326462092337,0.0,,72.6,Sí,0,0,,sí,sí
286,2310286,1,0,12.0,construccion,2019-05-07,,13944,803,161493,52538.28902353871,,22,18.52031865062997,0.0,0.0,2.0,460.0,Sí,0,1,,sí,sí
287,2300287,0,1,1.0,empresa de telefonia,2007-11-09,,1186,1019,616228,238441.52329069428,,46,80.2343635670846,0.0,0.0,,121.0,Sí,0,0,,sí,sí
288,2300288,0,1,0.0,restauracion,2003-03-07,,0,748,53983,21846.75013742499,,41,8.331690051243765,0.0,1.0,,72.6,Sí,0,0,,no,sí
289,2300289,0,1,0.0,restauracion,2018-06-28,,0,812,48333,19842.5363767048,,36,7.666353923344482,0.0,1.0,,72.6,Sí,0,1,,sí,sí
290,2300290,0,1,0.0,restauracion,2019-10-15,,0,585,55468,17491.11107837091,,40,6.885754451521823,0.0,0.0,,72.6,Sí,0,1,,sí,sí
291,2300291,0,1,0.0,construccion,2017-04-02,,0,586,38029,13098.144546280011,,33,5.427427301127336,0.0,0.0,,72.6,Sí,0,1,,sí,sí
292,2310292,1,0,12.0,construccion,2011-05-03,,14256,826,128570,37682.72446472002,,42,13.58873700248754,0.0,0.0,1.0,460.0,Sí,1,1,1.0,sí,sí
293,2300293,0,1,0.0,fontaneria,2011-04-07,,0,519,52606,18826.25016450878,,31,7.328978765807915,0.0,0.0,,72.6,Sí,0,1,,sí,sí
294,2310294,1,0,25.0,construccion,2004-09-24,,36825,1183,165299,46435.06940720722,,36,16.494241100004952,0.0,0.0,1.0,460.0,Sí,1,1,0.0,sí,sí
295,2300295,0,1,3.0,restauracion,2018-06-12,,4518,826,69531,23942.909930204365,,22,9.027549378885958,0.0,0.0,,162.5,Sí,0,1,,sí,sí
296,2310296,1,0,13.0,construccion,2008-09-24,,16692,852,586229,244608.4192448001,6739.0,56,82.28157966532561,0.0,0.0,2.0,460.0,Sí,1,1,0.0,sí,sí
297,2310297,1,0,13.0,construccion,2001-12-17,,21970,1007,373525,111930.28687166765,,53,38.23659974345966,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
298,2300298,0,1,3.0,limpieza,2017-10-13,,4971,857,68644,21245.722191266654,,40,8.132167617911826,0.0,1.0,,162.5,Sí,0,1,,no,sí
299,2300299,0,1,2.0,empresa de telefonia,2016-04-27,,3232,842,78770,25117.40880720488,,26,9.417446180494974,0.0,0.0,,142.45,Sí,0,1,,sí,sí
300,2300300,0,1,1.0,peluqueria,2008-05-06,,1737,861,673124,270158.5971775469,,51,90.7634376318146,0.0,1.0,,121.0,Sí,0,1,,no,sí
301,2300301,0,1,0.0,zapateria,2011-09-09,,0,639,1017936,411855.9256556772,,47,137.80250787022806,17.96476196682063,0.0,,72.6,Sí,0,1,,sí,sí
302,2300302,0,1,0.0,fontaneria,2020-12-18,,0,671,52370,21594.20735755812,,38,8.24785376662252,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
303,2300303,0,1,0.0,construccion,2017-04-20,,0,567,58108,18291.057816155782,,34,7.151311686720228,0.0,0.0,,72.6,Sí,0,0,,no,sí
304,2310304,1,0,12.0,construccion,2017-05-22,,15000,709,110736,38036.61023607034,,27,13.706215982745748,0.0,0.0,3.0,460.0,Sí,0,1,0.0,sí,sí
305,2300305,0,1,3.0,restauracion,2021-04-11,,4359,825,173905,57994.00624120217,,42,20.331445706862382,0.0,0.0,,162.5,Sí,0,1,1.0,no,sí
306,2310306,1,0,23.0,construccion,2018-11-17,,41147,975,172749,62780.45719513812,,35,21.920397347892543,0.0,0.0,2.0,460.0,Sí,0,1,1.0,sí,no
307,2310307,1,0,5.0,construccion,2001-12-08,,8635,757,184512,59308.451235827095,,38,20.76780023161432,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
308,2310308,1,0,1.0,construccion,2021-09-28,,1494,1173,505668,200275.98780203,,57,67.56460243736065,0.0,0.0,5.0,460.0,Sí,0,1,,sí,sí
309,2300309,0,1,2.0,fontaneria,2016-10-09,,2596,924,68211,27752.295747719963,,40,10.292146029788864,0.0,0.0,,142.45,Sí,0,0,1.0,no,sí
310,2310310,1,0,12.0,construccion,2006-07-05,,14664,863,214988,87284.21836413251,,41,30.054877758449702,0.0,0.0,2.0,460.0,Sí,1,1,,sí,sí
311,2300311,0,1,0.0,fontaneria,2004-10-11,,0,603,896168,283946.8767401198,,61,95.3407141251456,0.0,0.0,,72.6,Sí,0,1,,sí,sí
312,2310312,1,0,15.0,construccion,2006-06-28,,22665,1183,122792,42710.55489299515,,29,15.25781906072104,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
313,2310313,1,0,14.0,construccion,2004-05-03,,19516,551,162422,57708.39587140296,,39,20.23663201919376,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
314,2310314,1,0,5.0,construccion,2011-04-03,,6035,850,143148,59519.45415396769,,36,20.837846584594484,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
315,2300315,0,1,0.0,restauracion,2008-06-10,,0,966,30652,10461.797888400228,,25,4.552242871436739,0.0,0.0,,72.6,Sí,1,0,,sí,sí
316,2310316,1,0,3.0,construccion,2020-07-03,,4575,938,121032,35072.11407050468,,32,12.722096205391772,0.0,1.0,1.0,460.0,No,1,1,,sí,sí
317,2300317,0,1,0.0,restauracion,2014-01-22,,0,807,46055,17043.84611154318,,42,6.737276506201645,0.0,0.0,,72.6,Sí,0,1,,sí,sí
318,2300318,0,1,0.0,restauracion,2002-04-02,,0,929,811765,247121.56338522315,,54,83.11586472214559,0.0,0.0,,72.6,Sí,0,0,,sí,sí
319,2300319,0,1,0.0,limpieza,2006-02-06,,0,732,32695,10826.19325135855,,23,4.673210706588228,0.0,1.0,,72.6,Sí,0,0,1.0,sí,sí
320,2300320,0,1,1.0,fontaneria,2016-12-02,,1213,849,74363,26215.229895490604,,42,9.781888360426784,0.0,1.0,,121.0,Sí,0,0,,sí,sí
321,2310321,1,0,2.0,construccion,2010-06-02,,2918,632,899128,372948.0292449512,,60,124.88630619056455,0.0,0.0,1.0,460.0,No,1,1,1.0,sí,sí
322,2310322,1,0,4.0,construccion,2012-08-03,,4560,1196,136553,41287.073587029525,,32,14.785267899357969,0.0,0.0,2.0,460.0,Sí,0,1,,sí,sí
323,2310323,1,0,5.0,construccion,2005-11-01,,5970,932,112808,45039.95939397285,,40,16.031108318267474,0.0,0.0,3.0,460.0,Sí,0,1,0.0,sí,sí
324,2300324,0,1,0.0,construccion,2002-07-08,,0,990,259188,73254.22155514806,,64,25.397358718177934,0.0,0.0,,72.6,Sí,0,1,,sí,sí
325,2310325,1,0,10.0,construccion,2010-11-24,,11980,904,153420,43986.55990565695,,38,15.681412716718794,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
326,2300326,0,1,0.0,restauracion,2019-02-11,,0,553,52848,18344.85890241405,,24,7.169171960464175,0.0,0.0,,72.6,Sí,1,1,,sí,sí
327,2300327,0,1,1.0,restauracion,2021-10-11,,1701,904,71578,25777.494279647795,,28,9.636573860847754,0.0,0.0,,121.0,Sí,0,1,,sí,sí
